iata,name,country
01,Bobb Air Freight,Germany
0B,Blue Air,Romania
0D,Darwin Airline,Switzerland
0G,Global Airlines,Argentina
0M,All America MX,Mexico
0P,All America BOPY,Paraguay
0X,Copenhagen Express,Denmark
0Y,All America CO,Colombia
11,TUIfly (X3),Germany
12,12 North,India
13,Eastern Atlantic Virtual Airlines,United States
1B,Abacus International,Singapore
1C,OneChina,China
1E,TransRussiaAirlines,Russia
1F,CB Airways UK ( Interliging Flights ),United Kingdom
1I,Novair,Sweden
1K,BudgetAir,Germany
1R,All America CL,Chile
1T,1Time Airline,South Africa
1X,Island Express Air,Canada
1Y,All America BR,Brazil
20,Air Salone,Sierra Leone
24,Euro Jet,Germany
2A,Deutsche Bahn,Germany
2B,Aerocondor,Portugal
2D,Aero VIP (2D),Portugal
2F,Frontier Flying Service,United States
2I,Star Peru (2I),Peru
2J,Air Burkina,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),Ecuador
2L,Helvetic Airways,Switzerland
2M,Moldavian Airlines,Moldova
2N,NextJet,Sweden
2O,Air Salone,Sierra Leone
2P,Air Philippines,Philippines
2Q,Air Cargo Carriers,United States
2R,All America AR,Argentina
2S,Air Carnival,India
2T,Haiti Ambassador Airlines,Haiti
2U,Air Guinee Express,Guinea
2W,Welcome Air,Austria
2X,Regionalia Uruguay,Uruguay
3B,JobAir,Czech Republic
3E,Air Choice One,United States
3F,Fly Colombia ( Interliging Flights ),Colombia
3G,Atlant-Soyuz Airlines,Russia
3I,Air Comet Chile,Chile
3K,Jetstar Asia Airways,Singapore
3L,Intersky,Austria
3M,Silver Airways (3M),United States
3O,Air Arabia Maroc,Morocco
3P,Tiara Air,Aruba
3Q,Yunnan Airlines,China
3R,Moskovia Airlines,Russia
3S,Air Antilles Express,Guadeloupe
3T,Turan Air,Azerbaijan
3U,Sichuan Airlines,China
3W,Malawian Airlines,Malawi
47,88,Cyprus
4A,Air Kiribati,Kiribati
4B,Boutique Air (Priv),United States
4C,Aires,S.A.
4D,Air Sinai,Egypt
4G,Gazpromavia,Russia
4H,United Airways,Bangladesh
4K,Askari Aviation,Pakistan
4L,Euroline,Georgia
4M,LAN Argentina,Argentina
4N,Air North Charter - Canada,Canada
4O,Interjet (ABC Aerolineas),Mexico
4P,Business Aviation,Congo (Kinshasa)
4Q,Safi Airlines,Afghanistan
4R,Hamburg International,Germany
4S,Vuola Italia,Italy
4T,Belair Airlines,Switzerland
4U,Germanwings,Germany
4X,Red Jet Mexico,Mexico
4Z,Airlink (SAA),South Africa
5B,Bassaka airlines,Cambodia
5C,CAL Cargo Air Lines,Israel
5D,Aerolitoral,Mexico
5E,SGA Airlines,Thailand
5G,Skyservice Airlines,Canada
5H,Fly540,Kenya
5J,Cebu Pacific,Philippines
5K,Hi Fly (5K),Portugal
5L,Aerosur,Bolivia
5M,Sibaviatrans,Russia
5N,Aeroflot-Nord,Russia
5P,Pal airlines,Chile
5Q,BQB Lineas Aereas,Uruguay
5T,Canadian North,Canada
5W,Astraeus,United Kingdom
5Y,Atlas Air,United States
5Z,VivaColombia,Colombia
69,Royal European Airlines,United Kingdom
6A,Consorcio Aviaxsa,Mexico
6B,TUIfly Nordic,Sweden
6C,Vuela Cuba,Cuba
6D,Pelita,Indonesia
6E,IndiGo Airlines,India
6F,MAT Airways,Macedonia
6G,Air Wales,United Kingdom
6H,Israir,Israel
6I,Fly 6ix,Sierra Leone
6J,Skynet Asia Airways,Japan
6K,Asian Spirit,Philippines
6P,Gryphon Airlines,United States
6R,Alrosa Mirny Air Enterprise,Russia
6T,Air Mandalay,Burma
6U,Air Cargo Germany,Germany
6V,Via Conectia Airlines,Uruguay
6W,Saratov Aviation Division,Russia
6Y,SmartLynx Airlines,Latvia
76,Southjet,United States
77,Southjet connect,United States
78,Southjet cargo,United States
7B,Krasnojarsky Airlines,Russia
7C,Jeju Air,Republic of Korea
7E,Aeroline GmbH,Germany
7F,First Air,Canada
7G,Star Flyer,Japan
7H,Era Alaska,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles
7J,Tajik Air,Tajikistan
7K,Kogalymavia Air Company,Russia
